Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Windgrace's Judgment,C18,Commander 2018,49,normal,rare,1,794,d8b8f56c-091f-4932-9216-af58f7ea4bd7,0.59,false,false,near_mint,en,USD
Blood Money,PCLB,Battle for Baldur's Gate Promos,116s,foil,mythic,1,69934,dec899f3-c145-4452-b0c1-6dcb3960c25f,4.99,false,false,near_mint,en,USD
"Vito, Thorn of the Dusk Rose",PM21,Core Set 2021 Promos,127p,normal,rare,1,51639,2a0eb995-b2aa-4915-a69e-d6995c91e589,6.99,false,false,near_mint,en,USD
Chaos Warp,2X2,Double Masters 2022,359,foil,rare,1,70385,94ba4278-c63e-49b4-bf60-16dfe5c70a0b,5.99,false,false,near_mint,en,USD
Lightning Bolt,2X2,Double Masters 2022,361,foil,uncommon,1,70489,c8c8390f-4072-454f-8dc4-174919187a47,3.49,false,false,near_mint,en,USD
Tribute to the World Tree,MOM,March of the Machine,211,normal,rare,2,81215,c0cdeaba-fc21-44e6-bf99-aa1ff379401b,15.99,false,false,near_mint,en,USD
Tribute to the World Tree,MOM,March of the Machine,211,foil,rare,1,81215,c0cdeaba-fc21-44e6-bf99-aa1ff379401b,15.99,false,false,near_mint,en,USD
Tamiyo's Safekeeping,NEO,Kamigawa: Neon Dynasty,211,normal,common,1,66930,fd4b7ee2-de65-4288-872d-486065a4f226,4.49,false,false,near_mint,en,USD
"Zopandrel, Hunger Dominus",ONE,Phyrexia: All Will Be One,315,normal,mythic,2,78530,49782a6f-1a14-47c1-a6e6-e5650092684f,14.99,false,false,near_mint,en,USD
Natural Order,STA,Strixhaven Mystical Archive,117,normal,mythic,2,58444,8ac43bf2-08e1-4b63-ac4f-ccc565ca2cee,19.99,false,false,near_mint,en,USD
Mana Reflection,2XM,Double Masters,175,foil,rare,1,51933,81e0d739-990f-4ba5-b456-165c033014cf,8.99,false,false,near_mint,en,USD
"Invasion of Ikoria // Zilortha, Apex of Ikoria",MOM,March of the Machine,190,normal,rare,1,81089,5d59c8f2-f6af-40a6-8dfe-8cc45bf231ce,11.99,false,false,near_mint,en,USD
Assassin's Trophy,2X2,Double Masters 2022,372,normal,rare,3,70046,0c4f4ff8-efd2-4d22-8491-54bd6e73006c,5.99,false,false,near_mint,en,USD
Wheel of Sun and Moon,PLST,The List,SHM-243,normal,rare,1,64930,aecbd704-bb01-45b4-b36a-03d4df809ecd,2.99,false,false,near_mint,en,USD
Mirari's Wake,MH2,Modern Horizons 2,320,normal,mythic,1,59421,157ce8f8-625c-407a-b015-3b5326da69a0,10.99,false,false,near_mint,en,USD
Decanter of Endless Water,CLB,Commander Legends: Battle for Baldur's Gate,444,foil,common,1,69162,914b42b3-03af-4945-9f1f-46c09a1a2314,2.49,false,false,near_mint,en,USD
Pithing Needle,2X2,Double Masters 2022,397,normal,rare,1,70297,6e997845-be0e-4130-8d07-5d2963ce8a5e,1.99,false,false,near_mint,en,USD
Temple Bell,C16,Commander 2016,277,normal,rare,1,7077,6bb63a40-2cce-439f-bd97-d25340ead6ca,5.99,false,false,near_mint,en,USD
Phyrexian Altar,2X2,Double Masters 2022,396,normal,rare,1,70031,043de2ce-9ee9-414f-9385-6e5260173988,44.99,false,false,near_mint,en,USD
Ashnod's Altar,BRR,The Brothers' War Retro Artifacts,4,foil,rare,1,75291,0f2d0ee5-3173-4a03-be45-2fe9ea49cdc3,12.99,false,false,near_mint,en,USD
